Id,Predicted
candidate11,1.82E-01
candidate13,3.74E-01
candidate15,3.63E-01
candidate17,7.06E-01
candidate22,3.03E-01
candidate26,3.12E-01
candidate33,4.74E-01
candidate40,4.42E-01
candidate42,6.15E-01
candidate49,3.90E-01
candidate56,3.36E-01
candidate59,3.59E-01
candidate60,1.73E-01
candidate68,3.61E-01
candidate75,3.90E-01
candidate76,2.50E-01
candidate77,3.30E-01
candidate79,3.46E-01
candidate85,3.33E-01
candidate99,3.55E-01
candidate100,2.13E-01
candidate103,3.92E-01
candidate107,3.71E-01
candidate108,3.77E-01
candidate112,3.64E-01
candidate116,4.06E-01
candidate117,1.69E-01
candidate118,1.08E-01
candidate128,4.59E-01
candidate129,6.14E-01
candidate132,4.73E-01
candidate137,3.63E-01
candidate144,3.66E-01
candidate146,1.50E-01
candidate149,4.54E-01
candidate165,4.94E-01
candidate167,3.55E-01
candidate170,3.59E-01
candidate174,4.08E-01
candidate178,4.61E-01
candidate189,2.85E-01
candidate191,6.24E-02
candidate194,4.43E-01
candidate195,4.44E-01
candidate197,3.47E-01
candidate201,3.24E-01
candidate204,6.35E-01
candidate223,5.51E-01
candidate239,5.49E-01
candidate251,1.46E-01
candidate252,3.46E-01
candidate259,6.00E-01
candidate264,1.91E-01
candidate268,3.52E-01
candidate274,9.30E-01
candidate275,3.94E-01
candidate278,6.97E-01
candidate284,2.80E-01
candidate286,6.28E-01
candidate290,6.37E-01
candidate300,3.85E-01
candidate301,1.87E-01
candidate302,1.86E-01
candidate309,3.77E-01
candidate312,3.59E-01
candidate329,3.41E-01
candidate333,7.81E-01
candidate344,4.37E-01
candidate346,3.00E-01
candidate348,4.57E-01
candidate354,6.53E-01
candidate357,3.47E-01
candidate360,5.77E-01
candidate363,2.47E-01
candidate368,5.59E-01
candidate373,4.19E-01
candidate384,6.42E-01
candidate390,6.95E-01
candidate394,3.71E-01
candidate396,3.60E-01
candidate397,3.06E-01
candidate398,7.20E-01
candidate402,3.02E-01
candidate403,2.18E-01
candidate412,3.92E-01
candidate424,2.59E-01
candidate427,3.02E-01
candidate431,1.57E-01
candidate439,2.75E-01
candidate440,3.35E-01
candidate450,3.91E-01
candidate451,3.04E-01
candidate455,4.22E-01
candidate456,2.20E-01
candidate458,3.63E-01
candidate459,1.53E-01
candidate463,2.32E-01
candidate466,3.46E-01
candidate483,4.98E-01
candidate486,3.21E-01
candidate489,3.77E-01
candidate491,9.10E-01
candidate493,8.82E-01
candidate498,3.54E-01
candidate499,3.49E-01
candidate502,1.74E-01
candidate509,9.79E-01
candidate513,5.23E-01
candidate524,8.48E-01
candidate530,7.41E-01
candidate544,3.88E-01
candidate556,3.19E-01
candidate563,4.83E-01
candidate564,9.43E-01
candidate565,5.08E-01
candidate580,4.45E-01
candidate582,3.99E-01
